gene,drug_id,name,rho,pvalue,fdr,n_lines
EGFR,BRD-K00003291-001-01-9,BEBT-908,-0.3018098566765047,6.002654982845425e-20,1.2673356120963261e-18,878
CLTB,BRD-K00003313-001-01-9,trabectedin,-0.3017589745965756,6.09315274456818e-20,1.2852812811015117e-18,878
JUN,BRD-K00003313-001-01-9,trabectedin,-0.3017351850994051,6.135924805397105e-20,1.2919714824481185e-18,878
EGFR,BRD-K00003501-001-01-9,lazertinib,-0.3016797373565501,6.236769820972106e-20,1.3108433835949649e-18,878
TCF3,BRD-K00003222-001-01-9,tradipitant,-0.3015929593621903,6.39788816835485e-20,1.3422930185887753e-18,878
CD44,BRD-K00091071-001-01-9,PF-06952229,-0.3015714096149747,1.6896231583358902e-19,3.2315771241101826e-18,858
ITGB5,BRD-K30177383-001-02-9,dalbavancin,-0.301429047006042,7.392709207439003e-20,1.5358435519667946e-18,876
FAM83H,BRD-K00003223-003-01-9,amiselimod,-0.3012717041074809,8.944082486533966e-20,1.8193306864688586e-18,873
ME2,BRD-K55790047-001-02-9,ON-01500,-0.3011710388814594,7.972968607334795e-20,1.644697460641031e-18,876
FADD,BRD-K00003223-003-01-9,amiselimod,-0.301002492357889,9.67473933280084e-20,1.9523749816410986e-18,873
GPC1,BRD-K00091071-001-01-9,PF-06952229,-0.3007971657073621,2.109683463234096e-19,3.954091571989357e-18,858
TCF3,BRD-K00003172-001-01-9,E7820,-0.3006951657041978,1.0581014518818926e-19,2.115478796696629e-18,873
BCL2,BRD-K00003388-001-01-9,CXD101,-0.300686814944394,1.0606774474942028e-19,2.118816521609788e-18,873
PIM2,BRD-K00003375-004-01-9,visomitin,-0.300683117238385,8.355057671808646e-20,1.7114321464111453e-18,878
ME2,BRD-K00003293-001-01-9,mertansine,-0.3005317555080454,1.109649083687017e-19,2.210973434265385e-18,873
BCL2,BRD-K00003173-001-01-9,SJG-136,-0.3002614421207172,9.45215451168481e-20,1.9126905216198912e-18,878
