Gene,Lineage,Posterior_median_rho,HDI_low_95,HDI_high_95,P(rho<0),P(|rho|>ROPE),N_cell_lines,ESS_bulk,R_hat,FDR
FOXA2,Ovary/Fallopian Tube,-0.5421054753247164,-0.7154306980920817,-0.3315120907588165,1.0,0.9995,56,1631.0,1.0,0.0051428571428565
MDM2,Soft Tissue,-0.5417454124516232,-0.7315708915556471,-0.3213317060125917,1.0,0.999,45,1667.0,1.0,0.0144
JUN,Soft Tissue,-0.5414768435611175,-0.7266438681709717,-0.3051539605296973,1.0,0.9995,45,1382.0,1.0,0.0077142857142848
IRS2,Breast,-0.5410629602450611,-0.7244415123912373,-0.3282623147862548,1.0,1.0,50,1260.0,1.0,0.0
ZEB2,Skin,-0.5404467737452864,-0.6925175470169043,-0.3750553995039962,1.0,1.0,73,1506.0,1.0,0.0
CCND1,Soft Tissue,-0.5394539930993484,-0.7123907518720609,-0.2883655211205991,1.0,0.9995,45,1784.0,1.0,0.0077142857142848
HMGA2,Bone,-0.5386218827047394,-0.7694706206781634,-0.2973023652741857,1.0,0.9995,35,1595.0,1.0,0.0119999999999986
MTAP,Biliary Tract,-0.5382372494706644,-0.7461600912599793,-0.2632501604658288,1.0,0.9985,35,1724.0,1.0,0.0359999999999987
PSIP1,Bone,-0.5381294473070027,-0.7608713525501323,-0.2937754621089001,1.0,0.999,35,1713.0,1.0,0.018
IRS2,Bowel,-0.5380239409593076,-0.7026146634355295,-0.3472777492049319,1.0,1.0,59,1696.0,1.0,0.0
ELMO3,Bladder/Urinary Tract,-0.5372001641229777,-0.7644209217218629,-0.2693112213772479,0.9985,0.995,34,1497.0,1.0,0.0490909090909091
MDM2,Uterus,-0.5363419928365372,-0.7554681669097869,-0.2904586267555382,0.9985,0.9965,34,1351.0,1.0,0.0444705882352934
MDM2,Bladder/Urinary Tract,-0.5353458294649454,-0.7492193982820918,-0.2919664098989459,0.9995,0.999,34,1547.0,1.0,0.018
H2BC8,Uterus,-0.5353440597141063,-0.7492182171033719,-0.2919635142985328,0.9995,0.999,34,1547.0,1.0,0.018
ZFP36L1,Ovary/Fallopian Tube,-0.5346347587885409,-0.7213391925129944,-0.3302971206229924,1.0,1.0,56,1345.0,1.0,0.0
YAP1,Bladder/Urinary Tract,-0.5336096473527561,-0.7601186368341886,-0.2727973765032412,1.0,0.9955,34,1735.0,1.0,0.0462857142857137
SOX9,Lung,-0.5328524391966454,-0.6559628821237482,-0.4160228057314614,1.0,1.0,123,1510.0,1.0,0.0
ZEB1,Esophagus/Stomach,-0.5323512298729193,-0.6938517350620801,-0.3483245409722296,1.0,0.9995,62,1653.0,1.0,0.0038571428571424
ELK3,Soft Tissue,-0.5316648438820927,-0.7406819916819343,-0.3130754639295125,1.0,0.9995,45,1658.0,1.0,0.0077142857142848
CCND1,Breast,-0.531328709111544,-0.7039498842671592,-0.3095559876935389,1.0,0.9995,50,1897.0,1.0,0.0083076923076913
CTNNB1,Esophagus/Stomach,-0.5312675931391614,-0.7028127537370312,-0.358253324947847,1.0,1.0,62,1479.0,1.0,0.0
ACSL4,Bladder/Urinary Tract,-0.5295370898898738,-0.7471900531985007,-0.2525504470500899,0.999,0.9975,34,1467.0,1.0,0.0337499999999992
MYC,Skin,-0.5292521378570638,-0.6902211867228916,-0.3585481990238425,1.0,1.0,73,2041.0,1.0,0.0
WWTR1,Peripheral Nervous System,-0.5289121706845173,-0.7682545132012586,-0.2931145809278961,0.9995,0.9985,37,1416.0,1.0,0.0323999999999988
CCND1,Bowel,-0.5282292117193591,-0.6893313056734716,-0.3260049119796819,1.0,1.0,59,1618.0,1.0,0.0
KLHL9,Pancreas,-0.5280094704869238,-0.7202486413293041,-0.306498727239175,1.0,0.9995,45,1713.0,1.0,0.017999999999998
ITGB3,Ovary/Fallopian Tube,-0.5274340884450801,-0.7037858783228468,-0.3214118069565393,1.0,0.9995,56,1933.0,1.0,0.0051428571428565
SOX2,Head and Neck,-0.5273359746481716,-0.7041651724868538,-0.3310200053562901,1.0,0.9995,61,1657.0,1.0,0.0071999999999992
SOX2,Bone,-0.5273311736340439,-0.7647916555143339,-0.272997053194598,1.0,0.997,35,1712.0,1.0,0.0405
